lead_id,company_name,industry,company_size,country,signup_date,source,demo_requested,emails_opened,response_time_hours,n_meetings,decision_maker_contacted,quoted_acv_eur,company_description,converted,converted_within_days,lead_segment_truth
L0026,Ruta Pro,logistics,175,PT,2025-04-24,organic,False,4,103.8,0,False,5228.64,Equipo de logistics en PT pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0016,Lila Digital, retail ,799,GER,2025-05-21,conference,True,29,13.2,4,True,17412.33,"Empresa establecida en retail, más de 799 empleados, requiere RFP y prueba piloto.",False,,strategic
L0059,Hada Solutions,healthcare,14,ES,2024-04-08,paid,True,3,2.3,1,True,5615.36,"Empresa de healthcare pequeña en ES, equipo joven y decide rápido.",False,,quick_mover
L0143,Faena Works,SaaS,9,ES,2024-06-14,paid,True,6,1.2,4,False,3243.68,"Empresa de SaaS pequeña en ES, equipo joven y decide rápido.",True,38.0,quick_mover
L99000,Bizum Pro,healthcare,27,ES,2024-06-18,organic,False,0,55.9,0,False,6881.1,"Empresa de healthcare de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0103,Yedra Pro,retail,20,ES,2024-01-17,organic,True,9,1.4,0,True,5092.45,"Pyme de retail ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0031,Wadi Data,retail,115,ES,2027-08-15,organic,False,2,54.1,0,False,3847.37,Equipo de retail en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0144,Pulpo Data,healthcare,35,ES,2025-05-12,paid,False,11,1.7,0,True,5802.7,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0003,Hidra Solutions,SaaS,8,ES,2025-06-11,referral,True,7,1.9,2,True,3603.78,"Pyme de SaaS ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,36.0,quick_mover
L0074,Bizum Pro,SaaS,93,ES,2025-02-11,organic,False,2,141.0,2,False,6690.13,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0040,XXX DO NOT CONTACT XXX,healthcare,41,,2025-05-13,paid,True,8,1.2,3,False,7539.84,...,False,,quick_mover
L0037,Pulpo Networks,retail,5,ES,2025-11-12,paid,True,9,2.2,2,True,4764.89,"pequeña jugador de retail en ES, ciclo de compra corto.",False,,quick_mover
L0138,Dátil AI,healthcare,84,ES,2024-05-23,paid,False,4,57.4,0,False,8275.8,"Negocio de healthcare curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0027,Jaca Data,logistics,25,ES,2024-01-26,organic,False,3,62.2,0,False,2548.7,"Curious logistics buyer, no champion identified, slow to respond.",False,,tire_kicker
L0071,Bolero Dynamics,SaaS,606,PT,2024-12-21,conference,True,25,34.5,3,True,15159.96,"Empresa establecida en SaaS, más de 606 empleados, requiere RFP y prueba piloto.",False,,strategic
L0056,Kéfir Solutions,fintech,21,ES,2025-12-11,referral,True,6,1.6,3,True,8610.79,"pequeña jugador de fintech en ES, ciclo de compra corto.",True,7.0,quick_mover
L0023,Quinoa Studio,retail,186,ES,2024-08-28,conference,no,21,51.7,7,False,14237.51,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",True,7.0,strategic
L0083,Hada Dynamics,healthcare,19,DE,2025-05-07,paid,True,12,2.0,2,True,6428.64,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,24.0,quick_mover
L0066,Uva Works,logistics,17,FR,2025-12-12,conference,True,11,2.0,8,True,4359.41,...,True,9.0,quick_mover
L0017,Bizum Data,fintech,38,DE,2024-01-19,organic,False,2,22.1,0,False,6087.8,Equipo de fintech en DE pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0054,Quinoa Tech,logistics,129,ES,2024-07-24,conference,True,16,39.4,3,True,7104.89,"Líder de mercado en logistics con sede en ES, integra herramientas a nivel grupo.",False,,strategic
L0077,Nube Data,SaaS,76,DE,2025-06-30,organic,False,2,51.3,1,False,3687.85,"Negocio de SaaS curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0118,Estuario Group,healthcare,152,ES,2024-03-01,organic,false,1,54.7,0,True,7615.49,Equipo de healthcare en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0146,  Iberia Dynamics,SaaS,2333,ES,2025-09-15,outbound,True,24,13.4,7,True,21328.82,"Multinacional de SaaS con procesos maduros, decisión por comité de compras.",True,34.0,strategic
L0009,Cala Networks,fintech,78,ES,2025-10-24,organic,False,2,82.9,2,True,4422.9,"Pyme de fintech en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0019,Acme Dynamics,logistics,253,ES,2024-05-31,paid,False,4,65.2,1,False,7891.62,"Pyme de logistics en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0145,Garbanzo Hub,,23,ES,2025-05-19,paid,True,9,1.9,5,True,2566.5,"Empresa de retail pequeña en ES, equipo joven y decide rápido.",True,14.0,quick_mover
L0082,Wadi Studio,retail,104,DE,2025-04-15,organic,True,26,13.5,8,True,13218.63,"Líder de mercado en retail con sede en DE, integra herramientas a nivel grupo.",False,,strategic
L0097,Faro Systems,logistics,22,FR,2024-07-13,organic,False,3,51.7,0,False,5072.48,"Pyme de logistics en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0112,Hidra Works,SaaS,166,ES,10/25/2025,paid,False,4,46.2,0,False,9765.87,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0099,Uva  Solutions,fintech,20,ES,2025-02-23,outbound,True,5,1.7,1,True,,"Pyme de fintech ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,,quick_mover
L0047,Olivo Works,logistics,6,IT,2025-11-04,referral,True,3,1.9,8,True,3693.52,"Empresa de logistics pequeña en IT, equipo joven y decide rápido.",True,10.0,quick_mover
L0115,Xilófono Group,SaaS,64,FR,2024-03-21,organic,True,0,105.3,0,False,3164.88,Equipo de SaaS en FR pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0084,Cardo AI,,85,FR,2024-05-07,organic,False,1,45.4,0,False,5292.08,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0081,Faro Data,healthcare,77,DE,2025-04-12,organic,False,1,38.4,0,False,,"Pyme de healthcare en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0121,a,healthcare,67,ES,2024-07-27,organic,False,2,39.7,0,False,8912.31,TBD,False,,tire_kicker
L0064,Duna Networks,SaaS,20,UK,2025-12-16,organic,True,12,1.8,4,True,5341.26,"Pyme de SaaS ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0068,Trébol Systems,logistics,348,ES,2024-05-29,outbound,True,22,0.0,4,True,19013.86,"Multinacional de logistics con procesos maduros, decisión por comité de compras.",True,15.0,strategic
L0021,Pulpo Group,fintech,96,DE,2024-09-13,referral,False,,48.4,2,True,4908.24,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0090,Faena Pro,SaaS,207,ES,2024-11-13,outbound,True,4,88.9,0,False,4955.15,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0100,Bizum AI,SaaS,99999,ES,2024-01-25,organic,False,0,73.3,1,False,6428.26,"Negocio de SaaS curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0133,Pulpo AI,healthcare,1081,Germany,2025-11-18,conference,True,25,37.1,8,True,19885.86,"Multinacional de healthcare con procesos maduros, decisión por comité de compras.",False,,strategic
L0042,Gamba Hub,fintech,17,ES,2025-11-25,PAID,True,3,2.3,3,True,8076.13,"Empresa de fintech pequeña en ES, equipo joven y decide rápido.",False,,quick_mover
L0086,Faro Works,retail,210,ES,2025-07-23,organic,True,20,19.4,5,False,16218.72,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0035,Jacaranda Networks,SaaS,12,ES,19/11/2024,outbound,True,12,1.4,2,True,5800.57,"Pyme de SaaS ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,58.0,quick_mover
L0049,Verbena Solutions,logistics,370,ES,2025-05-08,outbound,True,31,22.8,12,True,12859.24,"Corporación del sector logistics con presencia en varios países, ciclo de compra largo y comité formal.",True,15.0,strategic
L0122,Bizum Pro,healthcare,27,ES,2024-06-18,organic,False,0,55.9,0,False,6881.1,"Empresa de healthcare de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0062,Jacaranda Dynamics,retail,390,FR,2024-05-10,conference,True,23,53.2,6,True,22684.44,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",True,17.0,strategic
L0006,Lila Group,retail,354,DE,2025-04-22,conference,True,34,59.5,7,False,13947.92,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",True,29.0,strategic
L0052,Olivo Group,healthcare,29,UK,2025-05-15,referral,True,6,1.1,4,True,4325.57,"Empresa de healthcare pequeña en UK, equipo joven y decide rápido.",True,19.0,quick_mover
L0039,Acme Tech,retail,782,FR,2025-06-15,referral,True,26,32.7,8,True,15951.05,"Empresa establecida en retail, más de 782 empleados, requiere RFP y prueba piloto.",True,24.0,strategic
L0136,Iberia Solutions,fintech,761,ES,2024-10-06,outbound,True,24,19.2,8,True,16802.82,"Corporación del sector fintech con presencia en varios países, ciclo de compra largo y comité formal.",True,7.0,strategic
L0134,Dátil Labs  ,SaaS,27,UK,2024-12-17,paid,True,7,1.9,4,True,3021.43,"Pyme de SaaS ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,2.0,quick_mover
L0028,Acme  ,healthcare,1094,UK,2024-11-14,outbound,True,25,26.2,5,True,17722.35,(duplicate?),False,,strategic
L0125,Lila Pro,retail,31,DE,2024-06-18,referral,True,10,2.5,2,True,4865.62,"pequeña jugador de retail en DE, ciclo de compra corto.",True,63.0,quick_mover
L0045,Duna Hub,healthcare,176,ES,2024-02-26,organic,True,4,33.7,1,False,8489.62,"Negocio de healthcare curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0123,Faro Solutions,SaaS,120,FR,2024-05-08,organic,True,2,85.8,2,False,7092.79,"Negocio de SaaS curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0088,Naranja Studio,fintech,138,FR,2025-07-18,organic,False,3,28.7,0,False,10464.71,Equipo de fintech en FR pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0128,Setas AI,healthcare,90,UK,04-Mar-2024,paid,False,2,35.2,0,True,4188.35,"Negocio de healthcare curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0111,Nube Networks,retail,100,ES,2024-10-25,organic,False,3,51.0,1,False,5232.67,"Pyme de retail en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0043,Uva AI, healthcare ,377,ES,2024-02-19,conference,True,21,,5,False,32808.59,"Empresa establecida en healthcare, más de 377 empleados, requiere RFP y prueba piloto.",False,,strategic
L0150,Iberia Systems,fintech,24,DE,2025-09-22,paid,True,1,48.3,0,False,4841.96,"Negocio de fintech curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0076,Kéfir Cloud,healthcare,999999,ES,2025-02-06,conference,False,1,102.3,1,True,4085.3,Equipo de healthcare en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0063,Duna Labs,retail,864,IT,2025-02-10,conference,True,24,56.9,5,True,33904.68,"Líder de mercado en retail con sede en IT, integra herramientas a nivel grupo.",False,,strategic
L0135,Hada AI,fintech,184,ES,2025-09-17,organic,False,2,129.7,0,False,8184.81,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0072,Faro Cloud,healthcare,60,PT,2024-09-17,organic,True,5,47.9,1,False,5728.7,"Negocio de healthcare curioso pero sin urgencia, comparando alternativas gratuitas.",True,11.0,tire_kicker
L0120,Ágora Tech,SaaS,245,ES,2025-11-07,outbound,True,4,76.4,0,False,7954.8,"Negocio de SaaS curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0044,Bolero Dynamics,fintech,60,DE,2025-09-10,Conf.,False,3,30.5,0,False,6669.01,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0142,Jaca Cloud,SaaS,803,UK,2025-09-02,organic,True,20,,5,True,29787.89,"Multinacional de SaaS con procesos maduros, decisión por comité de compras.",True,80.0,strategic
L0149,Duna AI,logistics,36,ES,2025-07-15,paid,False,6,2.9,7,True,4660.25,"Pyme de logistics ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0033,Ibis Solutions,fintech,13,es,2024-12-20,referral,False,8,2.4,5,True,7197.11,"Pyme de fintech ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,30.0,quick_mover
L0034,Elixir Labs,SaaS,181,PT,2024-09-05,organic,False,2,38.5,1,False,13982.76,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0097,Faro Systems,logistics,22,FR,2024-07-13,organic,False,3,51.7,0,False,5072.48,"Pyme de logistics en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0102,Pera Works,logistics,11,DE,2024-12-31,organic,True,11,1.8,1,True,3591.8,"Startup de logistics con unos 11 empleados, busca cerrar trato en semanas.",True,9.0,quick_mover
L0070,Kéfir Tech,HEALTHCARE,16,ES,2025-08-28,outbound,False,3,41.9,3,False,4302.0,"Pyme de healthcare en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0141,Duna AI,logistics,51,DE,2025-09-11,organic,False,2,98.8,0,True,3047.26,"Empresa de logistics de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0116,Kéfir Dynamics,retail,119,ES,2025-03-07,organic,False,5,39.5,0,True,4419.04,Equipo de retail en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0101,Hidra Pro,SaaS,29,FR,2025-05-17,paid,True,4,3.1,2,True,3462.36,"Pyme de SaaS ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,10.0,quick_mover
L0004,Acme Hub,fintech,12,ES,2027-08-15,outbound,True,9,1.3,1,True,6987.15,"Empresa de fintech pequeña en ES, equipo joven y decide rápido.",True,4.0,quick_mover
L0140,Garbanzo Works,fintech,247,DE,2025-06-16,conference,True,28,26.0,7,True,20861.78,"Corporación del sector fintech con presencia en varios países, ciclo de compra largo y comité formal.",True,49.0,strategic
L0010,Yedra Digital,retail,9,ES,2024-12-11,referral,True,10,1.8,6,True,4620.81,"Empresa de retail pequeña en ES, equipo joven y decide rápido.",True,1.0,quick_mover
L0002,Xilófono Systems,SaaS,1066,FR,2024-01-23,conference,True,36,21.9,7,True,36020.94,"Corporación del sector SaaS con presencia en varios países, ciclo de compra largo y comité formal.",True,13.0,strategic
L0065,Acme Pro,fintech,204,UK,2025-10-23,outbound,True,21,44.0,11,True,12276.42,"Corporación del sector fintech con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0092,Kéfir Labs,SaaS,295,ES,2024-06-03,outbound,True,21,18.3,7,True,10659.07,"Líder de mercado en SaaS con sede en ES, integra herramientas a nivel grupo.",False,,strategic
L0073,Setas Solutions,retail,425,ES,2025-12-03,outbound,True,25,-1.0,4,False,10722.79,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0094,Naranja Group,RETAIL,42,DE,2025-02-28,paid,False,0,62.8,0,False,3889.1,"Pyme de retail en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0117,Bizum Systems,logistics,7,PT,2024-04-14,referral,True,5,2.5,2,False,2316.91,"Pyme de logistics ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,3.0,quick_mover
L0132,Ruta Solutions,fintech,820,ES,2025-04-03,conference,True,14,26.3,6,True,18502.19,"“Enterprise fintech player, security review required before pilot.”",True,59.0,strategic
L0046,Quinoa Group,healthcare,0,DE,2025-12-26,referral,True,25,19.7,4,True,31929.68,"Multinacional de healthcare con procesos maduros, decisión por comité de compras.",False,,strategic
L0095,Elixir AI,healthcare,106,ES,2025-09-12,conference,False,2,35.0,0,False,5977.95,"Empresa de healthcare de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0007,Nube Group,retail,43,spain,2025-01-31,organic,False,6,62.7,0,False,3544.06,"Pyme de retail en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0093,Trébol Studio,logistics,21,UK,2025-09-16,organic,False,4,119.6,0,False,3774.9,"Empresa de logistics de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0139,TEST LEAD - DELETE,fintech,34,ES,2025-02-13,paid,True,8,2.5,1,True,9583.03,asdfasdf,False,,quick_mover
L0106,Zarza Pro,SaaS,18,UK,2025-04-22,paid,True,7,1.7,3,True,5868.54,"pequeña jugador de SaaS en UK, ciclo de compra corto.",True,15.0,quick_mover
L0124,Hidra Studio,retail,223,ES,2024-05-06,organic,False,5,21.0,0,False,4966.27,"Pyme de retail en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0131,Naranja Works,fintech,167,FR,2025-01-21,outbound,True,29,24.3,3,True,34630.92,"Multinacional de fintech con procesos maduros, decisión por comité de compras.",False,,strategic
L0104,Cardo Networks,logistics,15,uk,2025-07-01,paid,True,6,1.3,3,True,5162.86,"Startup de logistics con unos 15 empleados, busca cerrar trato en semanas.",False,,quick_mover
L0050,Pulpo Dynamics,logistics,138,UK,2025-08-25,outbound,True,25,15.1,8,False,11286.46,"Líder de mercado en logistics con sede en UK, integra herramientas a nivel grupo.",True,1.0,strategic
L0012,Pulpo Tech,SaaS,31,FR,2025-04-28,paid,False,10,2.9,2,True,7897.96,"Empresa de SaaS pequeña en FR, equipo joven y decide rápido.",False,,quick_mover
L0108,Bolero Works,healthcare,7,ES,2024-02-18,paid,False,12,1.3,3,True,4746.53,"Startup de healthcare con unos 7 empleados, busca cerrar trato en semanas.",True,5.0,quick_mover
L0075,Zarza Tech, SaaS ,25,PT,2025-08-18,referral,True,4,1.7,0,True,5973.02,"Empresa de SaaS pequeña en PT, equipo joven y decide rápido.",True,13.0,quick_mover
L0018,Acme AI,retail,620,ES,2024-09-19,conference,True,30,17.1,4,False,10318.42,"Multinacional de retail con procesos maduros, decisión por comité de compras.",False,,strategic
L0005,Dátil Tech,SaaS,37,PT,2025-12-18,referral,False,5,39.7,0,False,5876.74,Equipo de SaaS en PT pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0137,Hidra Studio,fintech,31,ES,2025-12-03,outbound,False,3,61.8,0,False,8505.44,Equipo de fintech en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0060,Quinoa Solutions,retail,14,ES,2024-01-09,organic,True,5,2.2,1,True,2915.22,"Pyme de retail ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0098,Cala Solutions,healthcare,518,ES,2025-10-25,organic,True,28,7.6,3,False,36617.61,"Líder de mercado en healthcare con sede en ES, integra herramientas a nivel grupo.",True,,strategic
L0069,Bolero Systems,SaaS,43,UK,2025-04-25,referral,False,4,86.0,1,False,4137.25,,False,,tire_kicker
L0051,Zarza Tech,logistics,337,DE,2025-05-21,outbound,True,25,16.2,8,True,23114.02,"Líder de mercado en logistics con sede en DE, integra herramientas a nivel grupo.",False,,strategic
L0014,Hada Labs,logistics,272,ES,2025-03-26,conference,True,37,41.4,4,True,12839.28,"Multinacional de logistics con procesos maduros, decisión por comité de compras.",True,91.0,strategic
L0089,Cala Studio,SaaS,76,Unknown,2025-09-08,referral,False,2,95.1,0,True,4957.26,"Pyme de SaaS en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0032,Quinoa Systems,fintech,26,IT,2024-01-23,paid,True,11,2.7,2,False,8745.71,"Startup de fintech con unos 26 empleados, busca cerrar trato en semanas.",True,21.0,quick_mover
L0079,Xilófono Dynamics,SaaS,342,ES,2025-11-02,conference,True,14,18.8,5,True,18526.84,"Corporación del sector SaaS con presencia en varios países, ciclo de compra largo y comité formal.",True,24.0,strategic
L0148,Lila Digital,logistics,728,DE,2025-04-29,conference,True,19,24.5,8,True,18082.92,"Corporación del sector logistics con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0038,Iberia Pro,SaaS,451,ES,2024-03-08,paid,True,22,35.0,2,True,12757.38,"Corporación del sector SaaS con presencia en varios países, ciclo de compra largo y comité formal.",True,125.0,strategic
L0055,Gamba Data,logistics,179,ES,2024-10-30,outbound,True,21,24.9,8,True,18249.71,"Líder de mercado en logistics con sede en ES, integra herramientas a nivel grupo.",True,53.0,strategic
L0022,Quinoa Cloud,healthcare,58,IT,2024-12-15,organic,False,5,71.9,0,False,5384.63,Equipo de healthcare en IT pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0015,Bizum Solutions,retail,319,FR,2025-04-26,referral,True,24,22.3,12,False,12970.47,"Empresa establecida en retail, más de 319 empleados, requiere RFP y prueba piloto.",True,80.0,strategic
L0029,Cala Dynamics,fintech,73,FR,2025-08-30,referral,no,21,30.1,10,True,14494.14,"Líder de mercado en fintech con sede en FR, integra herramientas a nivel grupo.",True,169.0,strategic
L0113,Gamba Digital,retail,24,UK,2025-11-17,paid,False,3,74.8,1,True,1.0,"Negocio de retail curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0011,Gamba Pro,healthcare,97,ES,2025-11-17,paid,False,1,58.7,3,False,4370.83,"Pyme de healthcare en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0013,Faro Systems,fintech,118,ES,2025-10-03,organic,True,1,160.4,0,False,7423.11,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0008,Jaca Systems,SaaS,97,,2025-12-02,referral,False,4,50.4,1,False,4787.31,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0041,Ibis Pro,fintech,214,IT,2025-02-17,Conf.,False,3,85.4,0,False,9030.54,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0119,Hidra Cloud,fintech,297,ES,2025-09-08,referral,True,2,49.3,2,True,8065.2,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0067,Garbanzo Data,fintech,53,ES,2024-06-06,paid,True,4,1.1,4,True,7345.36,“TBD”,False,,quick_mover
